Station,Jahr,Jan,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
612061790010,1880,-100,50,180,680,1020,1380,1690,1780,1490,670,400,200
617102030000,1880,-5,285,385,825,1075,1475,1675,1765,1525,815,465,415
617103200000,1880,-201,269,559,959,1229,1559,1759,1769,1489,779,409,460
617103380000,1880,-151,199,399,939,1129,1539,1769,1729,1489,769,409,415
617103810000,1880,-206,14,334,924,1134,1624,1864,1744,1464,714,374,264
617103840000,1880,-158,112,402,992,1202,1692,1932,1812,1532,782,442,332
617104380000,1880,-400,50,490,910,1180,1540,1780,1680,1410,790,410,469
617104710010,1880,-132,138,458,1048,1268,1728,1948,1768,1528,888,488,497
617104880000,1880,-191,9,289,889,1079,1579,1599,1609,1389,779,369,375
617105540000,1880,-395,-55,305,825,1065,1485,1715,1565,1345,725,335,364
617105550020,1880,-213,57,377,927,1187,1627,1827,1667,1407,847,457,497
617106090000,1880,-339,231,631,941,1271,1531,1851,1711,1451,821,411,544
617106390010,1880,-246,224,664,1004,1324,1574,1914,1754,1504,894,494,575
617106400010,1880,-238,192,692,1082,1462,1712,2032,1942,1612,932,512,572
617106770010,1880,-535,-175,365,895,1125,1545,1795,1635,1365,805,335,373
617107390000,1880,-368,202,672,962,1292,1592,1942,1762,1532,892,502,541
617108660010,1880,-504,-94,426,866,1056,1476,1846,1566,1346,756,366,396
617109350010,1880,-464,-44,576,936,1186,1536,1936,1686,1506,926,536,549
617109620000,1880,-540,130,340,600,760,1150,1600,1340,1210,670,230,230
612061790010,1881,-400,-290,-70,350,1040,1460,1670,1490,1230,660,570,280
617102030000,1881,-335,15,275,555,1125,1405,1815,1525,1295,625,635,225
617103200000,1881,-420,130,320,630,1290,1570,1930,1540,1280,520,730,190
617103380000,1881,-485,5,255,535,1235,1525,1915,1615,1255,495,655,191
617103810000,1881,-586,-126,134,494,1274,1534,1894,1564,1214,524,574,64
617103840000,1881,-638,-48,202,562,1342,1602,1962,1632,1282,592,642,132
617104380000,1881,-591,99,309,569,1219,1509,1879,1519,1219,479,599,88
617104710010,1881,-553,67,357,627,1337,1657,2027,1717,1287,587,677,186
617104880000,1881,-605,-55,245,475,1185,1475,1845,1635,1145,435,475,60
617105540000,1881,-766,-36,204,434,1174,1484,1844,1554,1174,394,564,14
617105550020,1881,-633,107,337,517,1217,1547,1887,1647,1237,527,677,157
617106090000,1881,-356,224,524,714,1274,1614,1964,1634,1234,534,664,137
617106390010,1881,-325,265,565,755,1345,1715,2055,1715,1275,555,765,196
617106400010,1881,-348,252,592,842,1482,1802,2162,1822,1372,622,732,221
617106770010,1881,-727,3,273,543,1193,1533,1883,1643,1143,453,433,31
617107390000,1881,-379,241,601,821,1331,1721,2031,1801,1311,521,711,99
617108660010,1881,-484,6,386,526,1086,1506,1966,1766,1166,366,406,6
617109350010,1881,-331,179,519,799,1239,1619,1999,1809,1269,619,519,102
617109620000,1881,-590,30,170,320,840,1240,1740,1540,1000,210,490,-30
612061790010,1882,240,270,560,690,1090,1440,1740,1600,1450,920,320,10
617102030000,1882,215,325,665,805,1225,1465,1625,1525,1375,915,435,135
617103200000,1882,150,300,680,860,1300,1480,1730,1500,1370,960,450,181
617103380000,1882,201,331,711,811,1211,1481,1751,1491,1371,901,451,137
617103810000,1882,64,184,624,744,1144,1444,1814,1534,1434,794,344,4
617103840000,1882,172,322,702,812,1212,1512,1882,1592,1502,862,412,71
617104380000,1882,-12,188,658,838,1188,1378,1668,1428,1308,908,398,98
617104710010,1882,156,306,766,896,1336,1606,1876,1606,1466,966,476,125
617104880000,1882,50,190,660,760,1180,1410,1770,1510,1390,870,390,66
617105540000,1882,-46,124,604,734,1164,1404,1654,1444,1274,824,364,3
617105550020,1882,97,277,707,797,1227,1497,1757,1527,1337,927,457,127
617106090000,1882,7,247,707,847,1287,1507,1647,1537,1287,977,537,240
617106390010,1882,56,296,796,896,1356,1566,1726,1586,1326,1046,596,297
617106400010,1882,81,311,841,1011,1461,1671,1831,1691,1421,1071,601,261
617106770010,1882,-89,21,531,751,1191,1411,1671,1451,1251,871,391,29
617107390000,1882,-1,169,749,959,1369,1569,1729,1619,1349,1009,549,188
617108660010,1882,-44,-34,586,716,1206,1406,1626,1466,1206,806,346,-34
617109350010,1882,-18,62,622,872,1352,1562,1702,1632,1322,1042,562,174
617109620000,1882,70,-40,440,490,980,1120,1420,1220,990,790,190,90
612061790010,1883,-50,100,-170,430,1090,1550,1710,1530,1340,900,490,170
617102030000,1883,85,395,-35,685,1195,1535,1645,1595,1365,985,565,305
617103200000,1883,131,401,-59,741,1351,1721,1691,1621,1361,941,541,202
617103380000,1883,27,327,-173,617,1247,1677,1707,1617,1357,927,497,184
617103810000,1883,-96,134,-206,464,1194,1664,1744,1594,1394,874,404,44
617103840000,1883,-29,261,-139,531,1251,1731,1811,1661,1461,941,471,111
617104380000,1883,18,328,-122,638,1258,1618,1638,1568,1298,888,448,127
617104710010,1883,5,275,-95,675,1425,1895,1885,1815,1535,995,545,194
617104880000,1883,-54,166,-234,506,1246,1666,1776,1636,1366,856,426,102
